summary,start,end,location
🏒 Edmonton Oilers @ Seattle Kraken,2025-10-02 02:00:00,2025-10-02 04:00:00,Climate Pledge Arena
🏒 Anaheim Ducks @ Seattle Kraken,2025-10-10 02:00:00,2025-10-10 04:00:00,Climate Pledge Arena
🏒 Vegas Golden Knights @ Seattle Kraken,2025-10-12 02:00:00,2025-10-12 04:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Montreal Canadiens,2025-10-14 23:00:00,2025-10-15 01:00:00,Centre Bell
🏒 Seattle Kraken @ Ottawa Senators,2025-10-16 23:00:00,2025-10-17 01:00:00,Canadian Tire Centre
🏒 Seattle Kraken @ Toronto Maple Leafs,2025-10-18 23:00:00,2025-10-19 01:00:00,Scotiabank Arena
🏒 Seattle Kraken @ Philadelphia Flyers,2025-10-20 23:00:00,2025-10-21 01:00:00,Xfinity Mobile Arena
🏒 Seattle Kraken @ Washington Capitals,2025-10-21 23:00:00,2025-10-22 01:00:00,Capital One Arena
🏒 Seattle Kraken @ Winnipeg Jets,2025-10-24 00:00:00,2025-10-24 02:00:00,Canada Life Centre
🏒 Edmonton Oilers @ Seattle Kraken,2025-10-26 02:00:00,2025-10-26 04:00:00,Climate Pledge Arena
🏒 Montreal Canadiens @ Seattle Kraken,2025-10-29 02:30:00,2025-10-29 04:30:00,Climate Pledge Arena
🏒 New York Rangers @ Seattle Kraken,2025-11-02 02:00:00,2025-11-02 04:00:00,Climate Pledge Arena
🏒 Chicago Blackhawks @ Seattle Kraken,2025-11-04 03:00:00,2025-11-04 05:00:00,Climate Pledge Arena
🏒 San Jose Sharks @ Seattle Kraken,2025-11-06 03:00:00,2025-11-06 05:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ St. Louis Blues,2025-11-09 00:00:00,2025-11-09 02:00:00,Enterprise Center
🏒 Seattle Kraken @ Dallas Stars,2025-11-10 00:00:00,2025-11-10 02:00:00,American Airlines Center
🏒 Columbus Blue Jackets @ Seattle Kraken,2025-11-12 03:00:00,2025-11-12 05:00:00,Climate Pledge Arena
🏒 Winnipeg Jets @ Seattle Kraken,2025-11-14 03:00:00,2025-11-14 05:00:00,Climate Pledge Arena
🏒 San Jose Sharks @ Seattle Kraken,2025-11-16 03:00:00,2025-11-16 05:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Detroit Red Wings,2025-11-19 00:00:00,2025-11-19 02:00:00,Little Caesars Arena
🏒 Seattle Kraken @ Chicago Blackhawks,2025-11-21 01:00:00,2025-11-21 03:00:00,United Center
🏒 Seattle Kraken @ Pittsburgh Penguins,2025-11-23 00:00:00,2025-11-23 02:00:00,PPG Paints Arena
🏒 Seattle Kraken @ New York Islanders,2025-11-23 22:00:00,2025-11-24 00:00:00,UBS Arena
🏒 Dallas Stars @ Seattle Kraken,2025-11-27 03:00:00,2025-11-27 05:00:00,Climate Pledge Arena
🏒 Edmonton Oilers @ Seattle Kraken,2025-11-29 21:00:00,2025-11-29 23:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Edmonton Oilers,2025-12-05 02:00:00,2025-12-05 04:00:00,Rogers Place
🏒 Detroit Red Wings @ Seattle Kraken,2025-12-07 03:00:00,2025-12-07 05:00:00,Climate Pledge Arena
🏒 Minnesota Wild @ Seattle Kraken,2025-12-09 03:00:00,2025-12-09 05:00:00,Climate Pledge Arena
🏒 Los Angeles Kings @ Seattle Kraken,2025-12-11 03:00:00,2025-12-11 05:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Utah Mammoth,2025-12-13 02:00:00,2025-12-13 04:00:00,Delta Center
🏒 Buffalo Sabres @ Seattle Kraken,2025-12-15 01:00:00,2025-12-15 03:00:00,Climate Pledge Arena
🏒 Colorado Avalanche @ Seattle Kraken,2025-12-17 03:00:00,2025-12-17 05:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Calgary Flames,2025-12-19 02:00:00,2025-12-19 04:00:00,Scotiabank Saddledome
🏒 Seattle Kraken @ San Jose Sharks,2025-12-21 03:00:00,2025-12-21 05:00:00,SAP Center at San Jose
🏒 Seattle Kraken @ Anaheim Ducks,2025-12-23 03:00:00,2025-12-23 05:00:00,Honda Center
🏒 Seattle Kraken @ Los Angeles Kings,2025-12-24 03:00:00,2025-12-24 05:00:00,Crypto.com Arena
🏒 Philadelphia Flyers @ Seattle Kraken,2025-12-29 01:00:00,2025-12-29 03:00:00,Climate Pledge Arena
🏒 Vancouver Canucks @ Seattle Kraken,2025-12-30 03:00:00,2025-12-30 05:00:00,Climate Pledge Arena
🏒 Nashville Predators @ Seattle Kraken,2026-01-02 03:00:00,2026-01-02 05:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Vancouver Canucks,2026-01-03 03:30:00,2026-01-03 05:30:00,Rogers Arena
🏒 Seattle Kraken @ Calgary Flames,2026-01-06 02:30:00,2026-01-06 04:30:00,Scotiabank Saddledome
🏒 Boston Bruins @ Seattle Kraken,2026-01-07 03:00:00,2026-01-07 05:00:00,Climate Pledge Arena
🏒 Minnesota Wild @ Seattle Kraken,2026-01-09 03:00:00,2026-01-09 05:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Carolina Hurricanes,2026-01-11 00:00:00,2026-01-11 02:00:00,Lenovo Center
🏒 Seattle Kraken @ New York Rangers,2026-01-13 00:00:00,2026-01-13 02:00:00,Madison Square Garden
🏒 Seattle Kraken @ New Jersey Devils,2026-01-15 00:00:00,2026-01-15 02:00:00,Prudential Center
🏒 Seattle Kraken @ Boston Bruins,2026-01-16 00:00:00,2026-01-16 02:00:00,TD Garden
🏒 Seattle Kraken @ Utah Mammoth,2026-01-17 22:00:00,2026-01-18 00:00:00,Delta Center
🏒 Pittsburgh Penguins @ Seattle Kraken,2026-01-19 22:00:00,2026-01-20 00:00:00,Climate Pledge Arena
🏒 New York Islanders @ Seattle Kraken,2026-01-22 02:30:00,2026-01-22 04:30:00,Climate Pledge Arena
🏒 Anaheim Ducks @ Seattle Kraken,2026-01-24 03:00:00,2026-01-24 05:00:00,Climate Pledge Arena
🏒 New Jersey Devils @ Seattle Kraken,2026-01-25 21:00:00,2026-01-25 23:00:00,Climate Pledge Arena
🏒 Washington Capitals @ Seattle Kraken,2026-01-28 03:00:00,2026-01-28 05:00:00,Climate Pledge Arena
🏒 Toronto Maple Leafs @ Seattle Kraken,2026-01-30 03:00:00,2026-01-30 05:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Vegas Golden Knights,2026-02-01 03:00:00,2026-02-01 05:00:00,T-Mobile Arena
🏒 Seattle Kraken @ Anaheim Ducks,2026-02-04 03:00:00,2026-02-04 05:00:00,Honda Center
