START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
2024-09-26,7:00 PM,10:00 PM,San Jose 3 - Anaheim 2,Honda Center - null, ,2024-09-26,2024-09-27,10:00 PM,1:00 AM,false,true,2024-09-26,6:00 PM,9:00 PM,FREE,BUSY
2024-09-30,7:00 PM,10:00 PM,Los Angeles 4 - Anaheim 0,Honda Center - null,NHLN /  BSW /  KCOP-13 / Victory+,2024-09-30,2024-10-01,10:00 PM,1:00 AM,false,true,2024-09-30,6:00 PM,9:00 PM,FREE,BUSY
2024-10-02,7:00 PM,10:00 PM,Utah 2 - Anaheim 5,Honda Center - null,KCOP-13 / Victory+,2024-10-02,2024-10-03,10:00 PM,1:00 AM,false,true,2024-10-02,6:00 PM,9:00 PM,FREE,BUSY
2024-10-16,7:00 PM,10:00 PM,Utah 4 - Anaheim 5,Honda Center - Anaheim - CA,Utah16 /  KCOP-13 / Victory+,2024-10-16,2024-10-17,10:00 PM,1:00 AM,false,true,2024-10-16,6:00 PM,9:00 PM,FREE,BUSY
2024-10-20,5:00 PM,8:00 PM,Los Angeles 4 - Anaheim 1,Honda Center - Anaheim - CA,NHLN /  BSW /  KCOP-13 / Victory+,2024-10-20,2024-10-20,8:00 PM,11:00 PM,false,true,2024-10-20,4:00 PM,7:00 PM,FREE,BUSY
2024-10-22,7:15 PM,10:15 PM,San Jose 1 - Anaheim 3,Honda Center - Anaheim - CA,NBCSCA /  KCOP-13 / Victory+,2024-10-22,2024-10-23,10:15 PM,1:15 AM,false,true,2024-10-22,6:15 PM,9:15 PM,FREE,BUSY
2024-11-03,5:00 PM,8:00 PM,Chicago 4 - Anaheim 2,Honda Center - Anaheim - CA,CHSN /  KCOP-13 / Victory+,2024-11-03,2024-11-03,8:00 PM,11:00 PM,false,true,2024-11-03,4:00 PM,7:00 PM,FREE,BUSY
2024-11-05,7:00 PM,10:00 PM,Vancouver 5 - Anaheim 1,Honda Center - Anaheim - CA,SNP /  KCOP-13 / Victory+,2024-11-05,2024-11-06,10:00 PM,1:00 AM,false,true,2024-11-05,6:00 PM,9:00 PM,FREE,BUSY
2024-11-08,7:00 PM,10:00 PM,Minnesota 5 - Anaheim 2,Honda Center - Anaheim - CA,FDSNNOX / FDSNWIX /  KCOP-13 / Victory+,2024-11-08,2024-11-09,10:00 PM,1:00 AM,false,true,2024-11-08,6:00 PM,9:00 PM,FREE,BUSY
2024-11-10,5:00 PM,8:00 PM,Columbus 2 - Anaheim 4,Honda Center - Anaheim - CA,FDSNOH /  Victory+,2024-11-10,2024-11-10,8:00 PM,11:00 PM,false,true,2024-11-10,4:00 PM,7:00 PM,FREE,BUSY
2024-11-13,7:00 PM,10:00 PM,Vegas 3 - Anaheim 2,Honda Center - Anaheim - CA,SCRIPPS /  KCOP-13 / Victory+,2024-11-13,2024-11-14,10:00 PM,1:00 AM,false,true,2024-11-13,6:00 PM,9:00 PM,FREE,BUSY
2024-11-15,7:00 PM,10:00 PM,Detroit 4 - Anaheim 6,Honda Center - Anaheim - CA,SNE / SNO / SNP /  FDSNDET /  Victory+,2024-11-15,2024-11-16,10:00 PM,1:00 AM,false,true,2024-11-15,6:00 PM,9:00 PM,FREE,BUSY
